0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:58:14 +0700] "GET /QuanLyNhanSuVaTienLuong/img/arrow-up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:03 +0700] "GET /QuanLyNhanSuVaTienLuong/cssAdmin/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:03 +0700] "GET /QuanLyNhanSuVaTienLuong/images/bann.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:04 +0700] "GET /QuanLyNhanSuVaTienLuong/cssAdmin/line-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:04 +0700] "GET /QuanLyNhanSuVaTienLuong/img/icons/line-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:04 +0700] "GET /QuanLyNhanSuVaTienLuong/img/icons/search-line-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:04 +0700] "GET /QuanLyNhanSuVaTienLuong/fonts/ElegantIcons.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:04 +0700] "GET /QuanLyNhanSuVaTienLuong/indexAdmin.jsp HTTP/1.1" 200 36531
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:04 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:20 +0700] "GET /QuanLyNhanSuVaTienLuong/TaoHoSoNhanVien.jsp HTTP/1.1" 500 2476
127.0.0.1 - - [19/Nov/2018:08:59:43 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:08:59:43 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:08:59:43 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:08:59:43 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:08:59:43 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:08:59:43 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [19/Nov/2018:08:59:43 +0700] "GET /manager/text/list HTTP/1.1" 200 879
127.0.0.1 - - [19/Nov/2018:08:59:43 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:08:59:43 +0700] "GET /manager/text/ HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:51 +0700] "GET /QuanLyNhanSuVaTienLuong/TaoHoSoNhanVien.jsp HTTP/1.1" 200 39070
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:52 +0700] "GET /QuanLyNhanSuVaTienLuong/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2018:08:59:53 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [19/Nov/2018:09:00:41 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:00:41 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:00:41 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:00:41 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:00:41 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:00:41 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [19/Nov/2018:09:00:41 +0700] "GET /manager/text/list HTTP/1.1" 200 879
127.0.0.1 - - [19/Nov/2018:09:00:41 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:00:41 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:00:44 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:00:44 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:00:44 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:00:44 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:00:44 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:00:44 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [19/Nov/2018:09:00:44 +0700] "GET /manager/text/list HTTP/1.1" 200 879
127.0.0.1 - - [19/Nov/2018:09:00:44 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:00:44 +0700] "GET /manager/text/ HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [19/Nov/2018:09:01:40 +0700] "GET /QuanLyNhanSuVaTienLuong/TaoHoSoNhanVien.jsp HTTP/1.1" 200 39065
0:0:0:0:0:0:0:1 - - [19/Nov/2018:09:01:41 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [19/Nov/2018:09:01:54 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:01:54 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:01:54 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:01:54 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:01:54 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:01:54 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - admin [19/Nov/2018:09:01:54 +0700] "GET /manager/text/list HTTP/1.1" 200 879
127.0.0.1 - - [19/Nov/2018:09:01:54 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:01:54 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:02:12 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:02:12 +0700] "GET /manager/text/ HTTP/1.1" 200 39
127.0.0.1 - - [19/Nov/2018:09:02:12 +0700] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - admin [19/Nov/2018:09:02:12 +0700] "GET /manager/text/ HTTP/1.1" 200 39
